date,bet_type,home,away,team_abbrev,americanOdds,decimalOdds,stakePCT,wagerPCT,PLUS_MINUS,Total,spread,WIN-LOSS-PUSH
2023-11-06,SPREAD,OKC,ATL,OKC,100.0,2.0,45.83,43.91,9.0,243.0,-1.5,1.0
2023-11-06,SPREAD,DEN,NOP,NOP,-110.0,1.91,27.1,31.02,-18.0,250.0,6.5,0.0
2023-11-06,SPREAD,DEN,NOP,DEN,-110.0,1.91,72.9,68.98,18.0,250.0,-6.5,1.0
2023-11-08,SPREAD,IND,UTA,UTA,-105.0,1.95,33.01,34.07,-16.0,252.0,5.5,0.0
2023-11-08,SPREAD,IND,UTA,IND,-115.0,1.87,66.99,65.93,16.0,252.0,-5.5,1.0
2023-11-08,SPREAD,PHI,BOS,BOS,-110.0,1.91,,,-3.0,209.0,-2.5,0.0
2023-11-08,SPREAD,PHI,BOS,PHI,-110.0,1.91,,,3.0,209.0,2.5,1.0
2023-11-08,SPREAD,CHA,WAS,WAS,-115.0,1.87,47.4,44.65,16.0,248.0,2.5,1.0
2023-11-08,SPREAD,CHA,WAS,CHA,-105.0,1.95,52.6,55.35,-16.0,248.0,-2.5,0.0
2023-11-08,SPREAD,BKN,LAC,LAC,-110.0,1.91,49.76,43.65,-7.0,193.0,-5.5,0.0
2023-11-08,SPREAD,BKN,LAC,BKN,-110.0,1.91,50.24,56.35,7.0,193.0,5.5,1.0
2023-11-08,SPREAD,NYK,SAS,SAS,-115.0,1.87,58.36,53.91,-21.0,231.0,9.5,0.0
2023-11-08,SPREAD,NYK,SAS,NYK,-105.0,1.95,41.64,46.09,21.0,231.0,-9.5,1.0
2023-11-08,SPREAD,CHI,PHX,PHX,-110.0,1.91,69.09,61.25,1.0,231.0,-1.5,0.0
2023-11-08,SPREAD,CHI,PHX,CHI,-110.0,1.91,30.91,38.75,-1.0,231.0,1.5,1.0
2023-11-08,SPREAD,HOU,LAL,LAL,-115.0,1.87,51.44,53.84,-34.0,222.0,-1.5,0.0
2023-11-08,SPREAD,HOU,LAL,HOU,-105.0,1.95,48.56,46.16,34.0,222.0,1.5,1.0
2023-11-08,SPREAD,MIL,DET,DET,-115.0,1.87,16.55,15.07,-2.0,238.0,12.5,1.0
2023-11-08,SPREAD,MIL,DET,MIL,-105.0,1.95,83.45,84.93,2.0,238.0,-12.5,0.0
2023-11-08,SPREAD,MIN,NOP,NOP,-110.0,1.91,16.68,23.88,-21.0,223.0,9.5,0.0
2023-11-08,SPREAD,MIN,NOP,MIN,-110.0,1.91,83.32,76.12,21.0,223.0,-9.5,1.0
2023-11-08,SPREAD,OKC,CLE,CLE,-115.0,1.87,,,-8.0,248.0,-1.5,0.0
2023-11-08,SPREAD,OKC,CLE,OKC,-105.0,1.95,,,8.0,248.0,1.5,1.0
2023-11-08,SPREAD,MEM,MIA,MIA,-115.0,1.87,77.34,74.64,6.0,210.0,-1.5,1.0
2023-11-08,SPREAD,MEM,MIA,MEM,-105.0,1.95,22.66,25.36,-6.0,210.0,1.5,0.0
2023-11-08,SPREAD,DAL,TOR,TOR,-110.0,1.91,30.56,35.34,11.0,243.0,4.5,1.0
2023-11-08,SPREAD,DAL,TOR,DAL,-110.0,1.91,69.44,64.66,-11.0,243.0,-4.5,0.0
